severity,index,name,issue,value,duplicateCount,similarity,keyword,equipment
"WARNING","70","Thoracic rotation","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","117","Salto al cajón","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","118","Salto con peso corporal","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","119","Lunges saltados","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","195","Rechazo escapular","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","202","Rotaciones escapulares","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","203","Empuje escapular acostado","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","215","Descenso desde cajón","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","223","Subida en reversa al step","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","226","Elevación sobre las puntas de los pies","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","227","Elevación de la punta del pie","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","234","Inclinación pélvica","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","250","Escalera de sprints","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","303","Caminata talón-punta","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","310","Sostén de brazo extendido","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","317","Toque de rodilla con mano opuesta","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","319","Pasos laterales rápidos","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","323","Subir y bajar step en 4 tiempos","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","325","Toque alternado de punta de pie","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","327","Pasos adelante y atrás","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","333","Rotaciones torácicas","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","365","Hiperextensiones inversas","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","383","Dominadas explosivas","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","457","Mountain climber cruzado","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","461","Zancadas dinámicas laterales","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","486","Mountain climber lento","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","487","Jumping jack con toque de talón","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","500","Farmer carry con giro","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","508","Farmer suitcase carry","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","527","Farmer carry con peso diferente","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","541","Turkish windmill","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","545","World's greatest stretch","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","546","Puente unilateral","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","547","Wrist extensor stretch","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","551","World's greatest stretch con hamstring","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","555","Dislocaciones con palo en agarre cerrado","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","561","Dislocaciones con palo en agarre ancho","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","563","Wrist flexor stretch","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","566","Hip external rotation","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","569","Shoulder cross-body","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","574","Hip internal rotation","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","576","Wrist mobility circles","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","579","Postura del guerrero II","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","582","Stretch de perro boca abajo","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","586","Postura del guerrero III","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","590","Yoga supine twist","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","596","Stretch de adductor lateral","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","606","Fascial stretch de línea media","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","607","Postura del cisne","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","608","Postura del perro","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","610","Yoga seated forward fold","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","611","Postura del puente","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","614","Yoga lunge twist","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","615","Postura del guerrero I","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","616","Stretch de adductor sentado","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","624","Medicine ball rotational throw","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","633","Depth landing","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","639","Medicine ball chest pass","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","650","Deadlift unilateral","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","654","Stability ball plank circle","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","663","Deadlift unilateral en bosu","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","671","Yoga side plank with leg raise","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","673","Puente con elevación de pierna","TAGS_DO_NOT_REFLECT_NAME","","","","",""
"WARNING","790","Técnica de levantar objetos","TAGS_DO_NOT_REFLECT_NAME","","","","",""
