id,dayId,exerciseId,sets,reps,targetWeight,rest,order,notes
"cmt63fqxr0007cnwqcmdm9tam","cmt63fqxr0002cnwquzz28r3n","cmt1wcjjw00089yldaapzyavh","3","10",,"60s","3",
"cmt63fqxr0008cnwq3l9djes7","cmt63fqxr0002cnwquzz28r3n","cmt1wcja800049yld2j6u9qxx","3","10",,"60s","4",
"cmt63fqxr0009cnwqwjq39ssi","cmt63fqxr0002cnwquzz28r3n","cmt1wcjm900099yldrez29er5","3","10",,"60s","5",
"cmt63fqxr000acnwq9fsnvuz3","cmt63fqxr0002cnwquzz28r3n","cmt1wcjf000069yld70w99n67","3","10",,"60s","6",
"cmt63fqxs000dcnwqo1lulnjb","cmt63fqxr000bcnwq9ko6cfos","cmt1wck2g000e9yld4xr43xd3","3","10",,"60s","0",
"cmt63fqxs000ecnwqjou2pui0","cmt63fqxr000bcnwq9ko6cfos","cmt33as87009iypj1w4df4hbw","3","10",,"60s","1",
"cmt63fqxs000fcnwq4vqkwcnw","cmt63fqxr000bcnwq9ko6cfos","cmt1wck7k000g9ylds1f74e5f","3","10",,"60s","2",
"cmt63fqxs000gcnwq93nm3rza","cmt63fqxr000bcnwq9ko6cfos","cmt1wckgy000k9yld3uhbxcmz","3","10",,"60s","3",
"cmt63fqxs000hcnwqmqm7e5kr","cmt63fqxr000bcnwq9ko6cfos","cmt1wcku0000p9yldlixr5utq","3","10",,"60s","4",
"cmt63fqxs000icnwqc2dcn1bl","cmt63fqxr000bcnwq9ko6cfos","cmt1wckrp000o9yldwght3fhg","3","10",,"60s","5",
"cmt63fqxs000jcnwqb5pcjc7y","cmt63fqxr000bcnwq9ko6cfos","cmt1wckwc000q9yldx9h39v95","3","10",,"60s","6",
"cmt63fqxs000mcnwqr7z9425p","cmt63fqxs000kcnwq34kneumj","cmt1wcl3l000t9yldu1yg9vwg","3","10",,"60s","0",
"cmt63fqxs000ncnwq4gzljfyq","cmt63fqxs000kcnwq34kneumj","cmt1wcjvc000c9yldxsamglp5","3","10",,"60s","1",
"cmt63fqxs000ocnwqzlbzgtl3","cmt63fqxs000kcnwq34kneumj","cmt1wclaq000w9yldzyk12ehl","3","10",,"60s","2",
"cmt63fqxs000pcnwqplrkn7ul","cmt63fqxs000kcnwq34kneumj","cmt1wcld1000x9yldxuasbajt","3","10",,"60s","3",
"cmt63fqxs000qcnwqduc0027h","cmt63fqxs000kcnwq34kneumj","cmt1wclk600109ylda2zsqp9r","3","10",,"60s","4",
"cmt63fqxs000rcnwqar5barza","cmt63fqxs000kcnwq34kneumj","cmt1wclrc00139yldadw7gupn","3","10",,"60s","5",
"cmt63fqxs000scnwq7wuj1vk7","cmt63fqxs000kcnwq34kneumj","cmt1wcloz00129yldv3q1q1xf","3","10",,"60s","6",
